"answer_id","date","main_activity","main_domain","main_other","main_dev","other_dev","software_dev","software_dev_other","database","object_oriented","machine_learning","main_dev_lib","open_dev_lib","ihm_dev","ihm_language","physics_simu","physics_simu_lang","physics_simu_lib","physics_simu_lib_other","embedded_system","embedded_system_target"
"17","11/23/2022","ingenierie-system-hors-photonique","aeronautique-spatial",,"des-systemes-temps-reel-de-traitement-de-donnees","des-systemes-temps-reel-de-traitement-de-donnees,des-logiciels-de-traitement-de-donnees,des-logiciels-de-simulation","matlab-ou-equivalent","python,matlab-ou-equivalent","non-sql","non-objet","non-deep","sur-des-bibliotheques-ouvertes",,"oui-peu","matlab-ou-equivalent","oui","matlab","sur-des-bibliotheques-ouvertes",,"non","fpga"
"18","11/23/2022","autre","autres","Inspection générale du groupe crédit agricole ","d-autres-produits",,"python","python","non-sql","non-objet","oui-deep","sur-des-bibliotheques-ouvertes","Numpy Pandas seaborn matplotlib ","non","autre","non","non-concerne","non-concerne",,"non","non-concerne"
"19","11/24/2022","ingenierie-systeme-photonique","autres","Imaging - Smartphone, Automotive, Spatial, Astro-instrumentation, Medical, Scientifique, Imagerie industrielle, ...","des-systemes-d-acquisition-de-donnees","des-logiciels-de-traitement-de-donnees,des-logiciels-de-simulation","python","sharp,c-c","oui-sql","non-objet","oui-deep","sur-des-bibliotheques-ouvertes","EMVA1288 pour le traitement d'image CMOS, ","oui-peu","python","non","non-concerne","non-concerne",,"non","non-concerne"
"20","11/25/2022","ingenierie-r-and-d-photonique","energie","Structural Health Monitoring -&amp;gt; Energie, Industrie, Défense, Aéronautique, Génie Civil, BTP","des-systemes-d-acquisition-de-donnees","des-systemes-temps-reel-de-traitement-de-donnees,des-systemes-d-and-x27-acquisition-de-donnees,des-logiciels-d-acquisition-de-donnees,des-logiciels-de-traitement-de-donnees","python",,"oui-sql","oui-objet","oui-deep","sur-des-bibliotheques-ouvertes","numPy, Pandas, matplotlib, openCV, Keras / TensorFlow","oui-peu","python","non","non-concerne","non-concerne",,"oui","fpga"
"21","11/29/2022","ingenierie-r-and-d-photonique","aeronautique-spatial",,"des-systemes-temps-reel-de-traitement-de-donnees","des-systemes-d-and-x27-acquisition-de-donnees","python","matlab-ou-equivalent","non-sql","oui-objet","non-deep","sur-des-bibliotheques-ouvertes",,"oui-peu","python","oui","matlab","sur-des-bibliotheques-ouvertes",,"oui","micro"
"22","11/30/2022","ingenierie-systeme-photonique","telecommunications","développement de puces photoniques intégrés","des-logiciels-d-and-x27-acquisition-de-donnees",,"python","matlab-ou-equivalent","oui-sql","oui-objet","non-deep","sur-des-bibliotheques-ouvertes","tout ce qui est management de bases de données ; que ca soit des manips de labo ou de la prod industrielle il y a des bonnes pratiques à avoir, de l'acquisition des données à l'archivage, la réutilisation, l'exploitation etc.. ; les interfaces graphiques sont aussi très importantes ; des résultats sont quasi tout le temps présentées sous forme graphique/visuelle ; il faut savoir le faire avec toutes les technos. Après bien sur les bibliothèques de fonctions mathématiques et traitement d'image c'est top","oui-peu","python","oui","specifique","sur-des-bibliotheques-ouvertes",,"non","non-concerne"
"23","12/01/2022","autre","autres","Conseil et logiciels","des-logiciels-de-traitement-de-donnees","des-logiciels-d-acquisition-de-donnees,des-systemes-d-and-x27-acquisition-de-donnees,des-systemes-temps-reel-de-traitement-de-donnees,des-logiciels-de-simulation","python","c-c,sharp,php-html,java","oui-sql","non-objet","oui-deep","sur-des-bibliotheques-proprietaires-que-vous-developpez",,"oui","java","non","non-concerne","non-concerne",,"non","non-concerne"
"24","12/02/2022","autre","autres","Industrie de la microélectronique. Pour mon équipe: RetD en metasurfaces optiques.","des-systemes-d-acquisition-de-donnees","des-systemes-temps-reel-de-traitement-de-donnees,des-logiciels-d-acquisition-de-donnees,des-logiciels-de-traitement-de-donnees,des-logiciels-de-simulation","matlab-ou-equivalent","python","non-sql","oui-objet","oui-deep","sur-des-bibliotheques-proprietaires-que-vous-developpez",,"non","autre","oui","specifique","sur-des-bibliotheques-ouvertes","Logiciels Lumerical, Zemax et LightTools","non","non-concerne"
"25","12/02/2022","ingenierie-r-and-d-photonique","services-aux-entreprises",,"des-logiciels-d-and-x27-acquisition-de-donnees","des-logiciels-de-traitement-de-donnees,des-logiciels-de-simulation,des-systemes-d-and-x27-acquisition-de-donnees,des-systemes-temps-reel-de-traitement-de-donnees","python","c-c","oui-sql","oui-objet","non-deep","sur-des-bibliotheques-ouvertes","openCV - pour les autres ça dépend de la plateforme. Je ne vois pas de standard absolu","oui-peu","c-c","oui","python","sur-des-bibliotheques-ouvertes","numpy","non","non-concerne"
"26","12/03/2022","ingenierie-systeme-photonique","energie",,"d-autres-produits","des-logiciels-d-acquisition-de-donnees,des-logiciels-de-traitement-de-donnees","python",,"non-sql","oui-objet","non-deep","sur-des-bibliotheques-proprietaires-que-vous-developpez","numpy, matplotlib","oui-peu","python","oui","non-concerne","non-concerne",,"non","non-concerne"
